ITEMNAME,sales_channel,unit_weight
6284-32 - ENHANCED BIO HYDR FLUID   16OZ 12X1 CASE FC,NON-DISTRIBUTION,10.8
6531-32 - SYN GEAR & BEARING FLUID   16OZ 12X1 CASE FC,NON-DISTRIBUTION,11.200000000000001
6284-32 - ENHANCED BIO HYDR FLUID   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29
6061-100 - FG AIR COMP LUBE   1QT 12X1 CASE FS,NON-DISTRIBUTION,22
4415-100 - PAG GC LUBE   5GL PAIL BLK,NON-DISTRIBUTION,42
2033-68- NXT 717- PREM AM-RC OIL 55GL DRUM WHITE,NON-DISTRIBUTION,396
2033-68 - NXT 717 - PREM AM-RC OIL   275GL TOTE,NON-DISTRIBUTION,1980
PERDRAW 9949     1249L/330G TOTE,NON-DISTRIBUTION,2798
VISCUT 3197A LAPPING OIL   55G DRUM,NON-DISTRIBUTION,420.4304333333334
MONITROL 2301     114L/30G DRUM,NON-DISTRIBUTION,280
BLUE COOL S2697     DRUM,NON-DISTRIBUTION,445
ROCKFORM 7510   55G DRUM,NON-DISTRIBUTION,463.23
TECHNISTRIP MS 63     55G DRUM,NON-DISTRIBUTION,454
SECURE TEC ES     18.9L/5G PAIL,NON-DISTRIBUTION,49
SPECTRUM HDS-L     275GL TOTE,NON-DISTRIBUTION,3166
FCR OF TRO68AW-ELKAY MFG.   BULK (GAL),NON-DISTRIBUTION,7.3490625
2584-46 - SYN FR HYDR FLUID   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29
ACCUCUT P SPECIAL      55GL DRUM,NON-DISTRIBUTION,410
PERCHEM 2800      55GL DRUM,NON-DISTRIBUTION,425
2399-40 - CALDERA 3 - FG HTF   5GL PAIL BLK,NON-DISTRIBUTION,36
LUSTRA-ZINC PCZ 780 MAKE UP    208L/55G,NON-DISTRIBUTION,482
PERLUBE EP-150-GX     330GL TOTE,NON-DISTRIBUTION,2449
COMPRESSOR OIL 100   5G PAIL TH,NON-DISTRIBUTION,38.6
UNI KLEEN 4D     400 LB   FDR,NON-DISTRIBUTION,400
6505 HD ALKALINE CLEANER   5G/19L PAIL TH,NON-DISTRIBUTION,55.9
GX CLEAN 5701      55G  DRUM,NON-DISTRIBUTION,479
TREO NEUTRAL FLOOR CLEANER     18.9L/5G PAIL,NON-DISTRIBUTION,43
6731-220 - SYN BLOWER LUBE   55GL DRUM BLK,NON-DISTRIBUTION,401
ACCUROLL 5327     BULK GALLONS,NON-DISTRIBUTION,6.0089
KLEEN EFX     BULK GALLONS,NON-DISTRIBUTION,8.710000000000003
ACCUDRAW 42      55G DRUM,NON-DISTRIBUTION,460
GX CLEAN 5701      5GLPL,NON-DISTRIBUTION,44
TREO NEUTRA-WASH     208L/55G DRUM,NON-DISTRIBUTION,475
CS-310     5G PAIL,NON-DISTRIBUTION,45
MULTI-TERJ 1012 LF     208L/55G,NON-DISTRIBUTION,462
NICKEL CHLORIDE 13.35% SOL     5G PAIL,NON-DISTRIBUTION,55.6
MW-LPS 00216      12X12OZ,NON-DISTRIBUTION,11
DOUBLE-CUT TOPAZ 73S      1249L/330G,NON-DISTRIBUTION,2901
BLUE COOL S2697     PAIL,NON-DISTRIBUTION,40
GALAXY LEAN CLEAN 975      55G DRUM,NON-DISTRIBUTION,467
6731-150 - SYN BLOWER LUBE   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29
CIMGUARD 20     5G / 19L WHITE PLASTIC PAIL,NON-DISTRIBUTION,35
GF CLEAN 151IL      55G DRUM,NON-DISTRIBUTION,578
4013-68 - NXT ABR - RC OIL   5GL PAIL BLK,NON-DISTRIBUTION,36
ULTRAPASS BLACK B     55G DRUM,NON-DISTRIBUTION,470
USL-650 HIGH TEMP SYN CHAIN LUBE     55G DRUM,NON-DISTRIBUTION,446
WETAID 15     50 LB DRUM,NON-DISTRIBUTION,50
TECHNIBRITE NI 625     30# PAIL,NON-DISTRIBUTION,30
6019-100 - DIESTER AIR COMP LUBE   55GL DRUM GRY,NON-DISTRIBUTION,413
CIMTECH 510Z-HFP     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,487
AMERICAN TECHNOLOGY KOOL 930-B      5GLPL,NON-DISTRIBUTION,44
PH-NITRIC ACID 42BE      600 LB   DRUM,NON-DISTRIBUTION,600
